Algoritmo,Tamanho,Cenario,Tempo(ns),Tempo(ms),Comparacoes,Atribuicoes
BubbleSort,10,ORDENADO,11400,0,0114,45,0
InsertionSort,10,ORDENADO,13800,0,0138,9,18
SelectionSort,10,ORDENADO,17400,0,0174,45,27
QuickSort,10,ORDENADO,48100,0,0481,27,100
MergeSort,10,ORDENADO,84500,0,0845,19,68
HeapSort,10,ORDENADO,71500,0,0715,41,90
BubbleSort,100,ORDENADO,1518100,1,5181,4950,0
InsertionSort,100,ORDENADO,17000,0,0170,99,198
SelectionSort,100,ORDENADO,226600,0,2266,4950,297
QuickSort,100,ORDENADO,627800,0,6278,627,1262
MergeSort,100,ORDENADO,133300,0,1333,356,1344
HeapSort,100,ORDENADO,215700,0,2157,1081,1920
BubbleSort,1000,ORDENADO,11282900,11,2829,499500,0
InsertionSort,1000,ORDENADO,146200,0,1462,999,1998
SelectionSort,1000,ORDENADO,9864900,9,8649,499500,2997
QuickSort,1000,ORDENADO,2142400,2,1424,11880,19607
MergeSort,1000,ORDENADO,1347300,1,3473,5044,19952
HeapSort,1000,ORDENADO,16032000,16,0320,17583,29124
BubbleSort,10000,ORDENADO,75454100,75,4541,49995000,0
InsertionSort,10000,ORDENADO,2330200,2,3302,9999,19998
SelectionSort,10000,ORDENADO,162814700,162,8147,49995000,29997
QuickSort,10000,ORDENADO,13670400,13,6704,144965,265184
MergeSort,10000,ORDENADO,1754600,1,7546,69008,267232
HeapSort,10000,ORDENADO,9188600,9,1886,244460,395868
BubbleSort,100000,ORDENADO,5187685700,5187,6857,4999950000,0
InsertionSort,100000,ORDENADO,8610100,8,6101,99999,199998
SelectionSort,100000,ORDENADO,2964141400,2964,1414,4999950000,299997
QuickSort,100000,ORDENADO,7051200,7,0512,2073487,3427809
MergeSort,100000,ORDENADO,19426700,19,4267,853904,3337856
HeapSort,100000,ORDENADO,17621500,17,6215,3112517,4952562
BubbleSort,10,INVERSO,46300,0,0463,45,135
InsertionSort,10,INVERSO,27100,0,0271,45,63
SelectionSort,10,INVERSO,154000,0,1540,45,27
QuickSort,10,INVERSO,2900,0,0029,27,76
MergeSort,10,INVERSO,95500,0,0955,15,68
HeapSort,10,INVERSO,40700,0,0407,35,63
BubbleSort,100,INVERSO,1838800,1,8388,4950,14850
InsertionSort,100,INVERSO,135200,0,1352,4950,5148
SelectionSort,100,INVERSO,334400,0,3344,4950,297
QuickSort,100,INVERSO,7800,0,0078,673,1491
MergeSort,100,INVERSO,540900,0,5409,316,1344
HeapSort,100,INVERSO,8800,0,0088,944,1548
BubbleSort,1000,INVERSO,10917500,10,9175,499500,1498500
InsertionSort,1000,INVERSO,8946200,8,9462,499500,501498
SelectionSort,1000,INVERSO,5374500,5,3745,499500,2997
QuickSort,1000,INVERSO,62700,0,0627,11006,21047
MergeSort,1000,INVERSO,247900,0,2479,4932,19952
HeapSort,1000,INVERSO,89800,0,0898,15965,24948
BubbleSort,10000,INVERSO,100241500,100,2415,49995000,149985000
InsertionSort,10000,INVERSO,107006900,107,0069,49995000,50014998
SelectionSort,10000,INVERSO,167843300,167,8433,49995000,29997
QuickSort,10000,INVERSO,733200,0,7332,155250,269718
MergeSort,10000,INVERSO,4049700,4,0497,64608,267232
HeapSort,10000,INVERSO,1113900,1,1139,226682,350088
BubbleSort,100000,INVERSO,10265389000,10265,3890,4999950000,14999850000
InsertionSort,100000,INVERSO,5637889200,5637,8892,4999950000,5000149998
SelectionSort,100000,INVERSO,20088882800,20088,8828,4999950000,299997
QuickSort,100000,INVERSO,8710700,8,7107,1934038,3509889
MergeSort,100000,INVERSO,18454800,18,4548,815024,3337856
HeapSort,100000,INVERSO,15369400,15,3694,2926640,4492302
BubbleSort,10,ALEATORIO,1200,0,0012,45,87
InsertionSort,10,ALEATORIO,700,0,0007,36,47
SelectionSort,10,ALEATORIO,1100,0,0011,45,27
QuickSort,10,ALEATORIO,2200,0,0022,22,62
MergeSort,10,ALEATORIO,3200,0,0032,22,68
HeapSort,10,ALEATORIO,4000,0,0040,38,75
BubbleSort,100,ALEATORIO,18800,0,0188,4950,8202
InsertionSort,100,ALEATORIO,20200,0,0202,2833,2932
SelectionSort,100,ALEATORIO,14200,0,0142,4950,297
QuickSort,100,ALEATORIO,7500,0,0075,620,1301
MergeSort,100,ALEATORIO,9800,0,0098,546,1344
HeapSort,100,ALEATORIO,9600,0,0096,1010,1692
BubbleSort,1000,ALEATORIO,1151400,1,1514,499500,756375
InsertionSort,1000,ALEATORIO,259500,0,2595,253120,254123
SelectionSort,1000,ALEATORIO,1406500,1,4065,499500,2997
QuickSort,1000,ALEATORIO,77500,0,0775,11237,23844
MergeSort,1000,ALEATORIO,116800,0,1168,8719,19952
HeapSort,1000,ALEATORIO,282100,0,2821,16843,27147
BubbleSort,10000,ALEATORIO,161625700,161,6257,49995000,75176337
InsertionSort,10000,ALEATORIO,33271700,33,2717,25068763,25078777
SelectionSort,10000,ALEATORIO,158046000,158,0460,49995000,29997
QuickSort,10000,ALEATORIO,922200,0,9222,157574,287235
MergeSort,10000,ALEATORIO,1378700,1,3787,120463,267232
HeapSort,10000,ALEATORIO,1267100,1,2671,235284,372297
BubbleSort,100000,ALEATORIO,22002882300,22002,8823,4999950000,7511980224
InsertionSort,100000,ALEATORIO,3432714300,3432,7143,2504093395,2504193406
SelectionSort,100000,ALEATORIO,17526245100,17526,2451,4999950000,299997
QuickSort,100000,ALEATORIO,10900700,10,9007,2095010,3500260
MergeSort,100000,ALEATORIO,19405300,19,4053,1536318,3337856
HeapSort,100000,ALEATORIO,14932000,14,9320,3019475,4725054
BubbleSort,10,QUASE_ORDENADO,1100,0,0011,45,21
InsertionSort,10,QUASE_ORDENADO,800,0,0008,16,25
SelectionSort,10,QUASE_ORDENADO,3400,0,0034,45,27
QuickSort,10,QUASE_ORDENADO,2600,0,0026,26,84
MergeSort,10,QUASE_ORDENADO,3400,0,0034,20,68
HeapSort,10,QUASE_ORDENADO,106000,0,1060,41,87
BubbleSort,100,QUASE_ORDENADO,8500,0,0085,4950,1656
InsertionSort,100,QUASE_ORDENADO,2200,0,0022,651,750
SelectionSort,100,QUASE_ORDENADO,21200,0,0212,4950,297
QuickSort,100,QUASE_ORDENADO,7700,0,0077,550,1309
MergeSort,100,QUASE_ORDENADO,15900,0,0159,480,1344
HeapSort,100,QUASE_ORDENADO,66300,0,0663,1080,1896
BubbleSort,1000,QUASE_ORDENADO,525200,0,5252,499500,173874
InsertionSort,1000,QUASE_ORDENADO,64700,0,0647,58955,59956
SelectionSort,1000,QUASE_ORDENADO,1366100,1,3661,499500,2997
QuickSort,1000,QUASE_ORDENADO,61600,0,0616,11621,18053
MergeSort,1000,QUASE_ORDENADO,104200,0,1042,8031,19952
HeapSort,1000,QUASE_ORDENADO,298400,0,2984,17406,28740
BubbleSort,10000,QUASE_ORDENADO,62003500,62,0035,49995000,17290452
InsertionSort,10000,QUASE_ORDENADO,5879100,5,8791,5773483,5783482
SelectionSort,10000,QUASE_ORDENADO,165087400,165,0874,49995000,29997
QuickSort,10000,QUASE_ORDENADO,741600,0,7416,150573,284084
MergeSort,10000,QUASE_ORDENADO,1069100,1,0691,115181,267232
HeapSort,10000,QUASE_ORDENADO,1042400,1,0424,242494,390168
BubbleSort,100000,QUASE_ORDENADO,8957076700,8957,0767,4999950000,1730700060
InsertionSort,100000,QUASE_ORDENADO,966142200,966,1422,577000019,577100018
SelectionSort,100000,QUASE_ORDENADO,24469596800,24469,5968,4999950000,299997
QuickSort,100000,QUASE_ORDENADO,9592900,9,5929,2052173,3456315
MergeSort,100000,QUASE_ORDENADO,23523700,23,5237,1485539,3337856
HeapSort,100000,QUASE_ORDENADO,22605700,22,6057,3095136,4907496
