Algoritmo,Tamanho,Cenario,Tempo(ns),Tempo(ms),Comparacoes,Atribuicoes
BubbleSort,10,ORDENADO,10100,0,0101,45,0
InsertionSort,10,ORDENADO,11700,0,0117,9,18
SelectionSort,10,ORDENADO,16600,0,0166,45,27
QuickSort,10,ORDENADO,38000,0,0380,20,68
MergeSort,10,ORDENADO,34600,0,0346,19,68
HeapSort,10,ORDENADO,261300,0,2613,41,90
BubbleSort,100,ORDENADO,389700,0,3897,4950,0
InsertionSort,100,ORDENADO,18700,0,0187,99,198
SelectionSort,100,ORDENADO,257700,0,2577,4950,297
QuickSort,100,ORDENADO,494500,0,4945,799,1748
MergeSort,100,ORDENADO,131400,0,1314,356,1344
HeapSort,100,ORDENADO,493800,0,4938,1081,1920
BubbleSort,1000,ORDENADO,7146500,7,1465,499500,0
InsertionSort,1000,ORDENADO,135300,0,1353,999,1998
SelectionSort,1000,ORDENADO,8500400,8,5004,499500,2997
QuickSort,1000,ORDENADO,1209900,1,2099,11072,21584
MergeSort,1000,ORDENADO,1155900,1,1559,5044,19952
HeapSort,1000,ORDENADO,590200,0,5902,17583,29124
BubbleSort,10000,ORDENADO,27739800,27,7398,49995000,0
InsertionSort,10000,ORDENADO,1366800,1,3668,9999,19998
SelectionSort,10000,ORDENADO,19685100,19,6851,49995000,29997
QuickSort,10000,ORDENADO,36951200,36,9512,159071,272062
MergeSort,10000,ORDENADO,949700,0,9497,69008,267232
HeapSort,10000,ORDENADO,2436800,2,4368,244460,395868
BubbleSort,100000,ORDENADO,2207180900,2207,1809,4999950000,0
InsertionSort,100000,ORDENADO,7507100,7,5071,99999,199998
SelectionSort,100000,ORDENADO,2065676600,2065,6766,4999950000,299997
QuickSort,100000,ORDENADO,6290800,6,2908,2180948,3528783
MergeSort,100000,ORDENADO,11099100,11,0991,853904,3337856
HeapSort,100000,ORDENADO,13750700,13,7507,3112517,4952562
BubbleSort,10,INVERSO,45300,0,0453,45,135
InsertionSort,10,INVERSO,21900,0,0219,45,63
SelectionSort,10,INVERSO,53400,0,0534,45,27
QuickSort,10,INVERSO,2700,0,0027,24,100
MergeSort,10,INVERSO,72300,0,0723,15,68
HeapSort,10,INVERSO,26100,0,0261,35,63
BubbleSort,100,INVERSO,789900,0,7899,4950,14850
InsertionSort,100,INVERSO,53800,0,0538,4950,5148
SelectionSort,100,INVERSO,231700,0,2317,4950,297
QuickSort,100,INVERSO,7400,0,0074,750,1550
MergeSort,100,INVERSO,122200,0,1222,316,1344
HeapSort,100,INVERSO,8100,0,0081,944,1548
BubbleSort,1000,INVERSO,4533900,4,5339,499500,1498500
InsertionSort,1000,INVERSO,5071500,5,0715,499500,501498
SelectionSort,1000,INVERSO,4034000,4,0340,499500,2997
QuickSort,1000,INVERSO,58900,0,0589,10348,20934
MergeSort,1000,INVERSO,242700,0,2427,4932,19952
HeapSort,1000,INVERSO,88800,0,0888,15965,24948
BubbleSort,10000,INVERSO,77195700,77,1957,49995000,149985000
InsertionSort,10000,INVERSO,77404300,77,4043,49995000,50014998
SelectionSort,10000,INVERSO,150698100,150,6981,49995000,29997
QuickSort,10000,INVERSO,610000,0,6100,155515,269560
MergeSort,10000,INVERSO,827400,0,8274,64608,267232
HeapSort,10000,INVERSO,1034800,1,0348,226682,350088
BubbleSort,100000,INVERSO,7705185300,7705,1853,4999950000,14999850000
InsertionSort,100000,INVERSO,7731685700,7731,6857,4999950000,5000149998
SelectionSort,100000,INVERSO,13148266100,13148,2661,4999950000,299997
QuickSort,100000,INVERSO,6478500,6,4785,2024583,3286038
MergeSort,100000,INVERSO,10205300,10,2053,815024,3337856
HeapSort,100000,INVERSO,11864400,11,8644,2926640,4492302
BubbleSort,10,ALEATORIO,1100,0,0011,45,78
InsertionSort,10,ALEATORIO,2500,0,0025,34,44
SelectionSort,10,ALEATORIO,900,0,0009,45,27
QuickSort,10,ALEATORIO,2700,0,0027,21,79
MergeSort,10,ALEATORIO,2400,0,0024,23,68
HeapSort,10,ALEATORIO,1200,0,0012,37,78
BubbleSort,100,ALEATORIO,15800,0,0158,4950,7290
InsertionSort,100,ALEATORIO,3800,0,0038,2522,2628
SelectionSort,100,ALEATORIO,18500,0,0185,4950,297
QuickSort,100,ALEATORIO,6600,0,0066,666,1287
MergeSort,100,ALEATORIO,10100,0,0101,536,1344
HeapSort,100,ALEATORIO,8900,0,0089,1022,1746
BubbleSort,1000,ALEATORIO,1140800,1,1408,499500,743913
InsertionSort,1000,ALEATORIO,248600,0,2486,248960,249969
SelectionSort,1000,ALEATORIO,1325900,1,3259,499500,2997
QuickSort,1000,ALEATORIO,74800,0,0748,10122,20877
MergeSort,1000,ALEATORIO,105900,0,1059,8673,19952
HeapSort,1000,ALEATORIO,104200,0,1042,16880,27309
BubbleSort,10000,ALEATORIO,122301400,122,3014,49995000,75010833
InsertionSort,10000,ALEATORIO,23743800,23,7438,25013599,25023609
SelectionSort,10000,ALEATORIO,140228800,140,2288,49995000,29997
QuickSort,10000,ALEATORIO,1187600,1,1876,155275,276920
MergeSort,10000,ALEATORIO,1333400,1,3334,120499,267232
HeapSort,10000,ALEATORIO,1317700,1,3177,235497,372867
BubbleSort,100000,ALEATORIO,14269773300,14269,7733,4999950000,7505907357
InsertionSort,100000,ALEATORIO,2410348800,2410,3488,2502069104,2502169117
SelectionSort,100000,ALEATORIO,13118516300,13118,5163,4999950000,299997
QuickSort,100000,ALEATORIO,10099100,10,0991,2000119,3368707
MergeSort,100000,ALEATORIO,14655000,14,6550,1536249,3337856
HeapSort,100000,ALEATORIO,14115500,14,1155,3019635,4724727
BubbleSort,10,QUASE_ORDENADO,1200,0,0012,45,21
InsertionSort,10,QUASE_ORDENADO,700,0,0007,16,25
SelectionSort,10,QUASE_ORDENADO,1100,0,0011,45,27
QuickSort,10,QUASE_ORDENADO,3500,0,0035,22,87
MergeSort,10,QUASE_ORDENADO,2100,0,0021,20,68
HeapSort,10,QUASE_ORDENADO,53400,0,0534,41,87
BubbleSort,100,QUASE_ORDENADO,9500,0,0095,4950,2160
InsertionSort,100,QUASE_ORDENADO,9400,0,0094,819,918
SelectionSort,100,QUASE_ORDENADO,13200,0,0132,4950,297
QuickSort,100,QUASE_ORDENADO,6900,0,0069,605,1475
MergeSort,100,QUASE_ORDENADO,9100,0,0091,479,1344
HeapSort,100,QUASE_ORDENADO,64400,0,0644,1071,1878
BubbleSort,1000,QUASE_ORDENADO,528000,0,5280,499500,179718
InsertionSort,1000,QUASE_ORDENADO,66100,0,0661,60905,61904
SelectionSort,1000,QUASE_ORDENADO,1366200,1,3662,499500,2997
QuickSort,1000,QUASE_ORDENADO,65800,0,0658,10308,21149
MergeSort,1000,QUASE_ORDENADO,91800,0,0918,8105,19952
HeapSort,1000,QUASE_ORDENADO,282700,0,2827,17378,28716
BubbleSort,10000,QUASE_ORDENADO,54164600,54,1646,49995000,17031474
InsertionSort,10000,QUASE_ORDENADO,5612500,5,6125,5687157,5697156
SelectionSort,10000,QUASE_ORDENADO,134947100,134,9471,49995000,29997
QuickSort,10000,QUASE_ORDENADO,734000,0,7340,151476,276468
MergeSort,10000,QUASE_ORDENADO,1849200,1,8492,115438,267232
HeapSort,10000,QUASE_ORDENADO,1021500,1,0215,242577,390450
BubbleSort,100000,QUASE_ORDENADO,6079625500,6079,6255,4999950000,1743025572
InsertionSort,100000,QUASE_ORDENADO,561919100,561,9191,581108523,581208522
SelectionSort,100000,QUASE_ORDENADO,13026209500,13026,2095,4999950000,299997
QuickSort,100000,QUASE_ORDENADO,7944000,7,9440,2064329,3712912
MergeSort,100000,QUASE_ORDENADO,11915900,11,9159,1486536,3337856
HeapSort,100000,QUASE_ORDENADO,11439400,11,4394,3095160,4906992
